Type,SKU,Name,Published,Parent,"Is featured?","Visibility in catalog","Short description",Description,"In stock?",Stock,Weight,Length,Width,Height,"Sale price","Regular price",Categories,Images,"Attribute 1 name","Attribute 1 value (s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value (s)","Attribute 2 visible","Attribute 2 global"
variable,MO1001,MO1001-03,1,,,visible,USB,"Mini USB Flash Drive con chiusura protettiva in metallo. ",1,9999,,,,,0,0,MOBUSB,"http://images.midoceanbrands.com/image.mvc/WithIcon/MO1001_03/700/700/MO1001_03.jpg,http://www.usb.midoceanbrands.com/img/printing_area/MO1001.gif",Color,"03, 04, 05, 06, 48, 07, 08, 10, 12, 21, 37, 38",1,1,,,,
variation,MO1001-04,MO1001-04,1,,0,visible,USB,"Mini USB Flash Drive con chiusura protettiva in metallo. ",1,9999,,,,,0,0,MOBUSB,"http://images.midoceanbrands.com/image.mvc/WithIcon/MO1001_03/700/700/MO1001_03.jpg,http://www.usb.midoceanbrands.com/img/printing_area/MO1001.gif",Color,04,1,1,,,,
variation,MO1001-05,MO1001-05,1,,0,visible,USB,"Mini USB Flash Drive con chiusura protettiva in metallo. ",1,9999,,,,,0,0,MOBUSB,"http://images.midoceanbrands.com/image.mvc/WithIcon/MO1001_03/700/700/MO1001_03.jpg,http://www.usb.midoceanbrands.com/img/printing_area/MO1001.gif",Color,05,1,1,,,,
variation,MO1001-06,MO1001-06,1,,0,visible,USB,"Mini USB Flash Drive con chiusura protettiva in metallo. ",1,9999,,,,,0,0,MOBUSB,"http://images.midoceanbrands.com/image.mvc/WithIcon/MO1001_03/700/700/MO1001_03.jpg,http://www.usb.midoceanbrands.com/img/printing_area/MO1001.gif",Color,06,1,1,,,,
variation,MO1001-48,MO1001-48,1,,0,visible,USB,"Mini USB Flash Drive con chiusura protettiva in metallo. ",1,9999,,,,,0,0,MOBUSB,"http://images.midoceanbrands.com/image.mvc/WithIcon/MO1001_03/700/700/MO1001_03.jpg,http://www.usb.midoceanbrands.com/img/printing_area/MO1001.gif",Color,48,1,1,,,,
variation,MO1001-07,MO1001-07,1,,0,visible,USB,"Mini USB Flash Drive con chiusura protettiva in metallo. ",1,9999,,,,,0,0,MOBUSB,"http://images.midoceanbrands.com/image.mvc/WithIcon/MO1001_03/700/700/MO1001_03.jpg,http://www.usb.midoceanbrands.com/img/printing_area/MO1001.gif",Color,07,1,1,,,,
variation,MO1001-08,MO1001-08,1,,0,visible,USB,"Mini USB Flash Drive con chiusura protettiva in metallo. ",1,9999,,,,,0,0,MOBUSB,"http://images.midoceanbrands.com/image.mvc/WithIcon/MO1001_03/700/700/MO1001_03.jpg,http://www.usb.midoceanbrands.com/img/printing_area/MO1001.gif",Color,08,1,1,,,,
variation,MO1001-10,MO1001-10,1,,0,visible,USB,"Mini USB Flash Drive con chiusura protettiva in metallo. ",1,9999,,,,,0,0,MOBUSB,"http://images.midoceanbrands.com/image.mvc/WithIcon/MO1001_03/700/700/MO1001_03.jpg,http://www.usb.midoceanbrands.com/img/printing_area/MO1001.gif",Color,10,1,1,,,,
variation,MO1001-12,MO1001-12,1,,0,visible,USB,"Mini USB Flash Drive con chiusura protettiva in metallo. ",1,9999,,,,,0,0,MOBUSB,"http://images.midoceanbrands.com/image.mvc/WithIcon/MO1001_03/700/700/MO1001_03.jpg,http://www.usb.midoceanbrands.com/img/printing_area/MO1001.gif",Color,12,1,1,,,,
variation,MO1001-21,MO1001-21,1,,0,visible,USB,"Mini USB Flash Drive con chiusura protettiva in metallo. ",1,9999,,,,,0,0,MOBUSB,"http://images.midoceanbrands.com/image.mvc/WithIcon/MO1001_03/700/700/MO1001_03.jpg,http://www.usb.midoceanbrands.com/img/printing_area/MO1001.gif",Color,21,1,1,,,,
variation,MO1001-37,MO1001-37,1,,0,visible,USB,"Mini USB Flash Drive con chiusura protettiva in metallo. ",1,9999,,,,,0,0,MOBUSB,"http://images.midoceanbrands.com/image.mvc/WithIcon/MO1001_03/700/700/MO1001_03.jpg,http://www.usb.midoceanbrands.com/img/printing_area/MO1001.gif",Color,37,1,1,,,,
variation,MO1001-38,MO1001-38,1,,0,visible,USB,"Mini USB Flash Drive con chiusura protettiva in metallo. ",1,9999,,,,,0,0,MOBUSB,"http://images.midoceanbrands.com/image.mvc/WithIcon/MO1001_03/700/700/MO1001_03.jpg,http://www.usb.midoceanbrands.com/img/printing_area/MO1001.gif",Color,38,1,1,,,,
variable,MO1003,MO1003-16,1,,,visible,USB,"USB Flash Drive a forma di capsula con rifiniture satinate.",1,9999,,,,,0,0,MOBUSB,"http://images.midoceanbrands.com/image.mvc/WithIcon/MO1003_16/700/700/MO1003_16.jpg,http://www.usb.midoceanbrands.com/img/printing_area/MO1003.gif",Color,"16, 18, 03, 04, 05",1,1,,,,
variation,MO1003-18,MO1003-18,1,,0,visible,USB,"USB Flash Drive a forma di capsula con rifiniture satinate.",1,9999,,,,,0,0,MOBUSB,"http://images.midoceanbrands.com/image.mvc/WithIcon/MO1003_16/700/700/MO1003_16.jpg,http://www.usb.midoceanbrands.com/img/printing_area/MO1003.gif",Color,18,1,1,,,,
variation,MO1003-03,MO1003-03,1,,0,visible,USB,"USB Flash Drive a forma di capsula con rifiniture satinate.",1,9999,,,,,0,0,MOBUSB,"http://images.midoceanbrands.com/image.mvc/WithIcon/MO1003_16/700/700/MO1003_16.jpg,http://www.usb.midoceanbrands.com/img/printing_area/MO1003.gif",Color,03,1,1,,,,
variation,MO1003-04,MO1003-04,1,,0,visible,USB,"USB Flash Drive a forma di capsula con rifiniture satinate.",1,9999,,,,,0,0,MOBUSB,"http://images.midoceanbrands.com/image.mvc/WithIcon/MO1003_16/700/700/MO1003_16.jpg,http://www.usb.midoceanbrands.com/img/printing_area/MO1003.gif",Color,04,1,1,,,,
